number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.22535714224823736,2026-07-23 12:33:37.305809,2026-07-23 12:37:56.013311,0 days 00:04:18.707502,0.20797916299420094,0.18201218126345872,11,16.39481505511237,2700,0.07103285977543675,0.053768171585164865,0.6163641639886454,COMPLETE
1,0.20561621749471337,2026-07-23 12:37:56.022423,2026-07-23 12:42:19.898365,0 days 00:04:23.875942,0.6986622018574639,0.041918146970289824,8,16.75819450873367,1800,0.4626699390692671,0.06801950791585142,0.8804477878014645,COMPLETE
2,0.22262836002499697,2026-07-23 12:42:19.907381,2026-07-23 12:44:11.568860,0 days 00:01:51.661479,0.8880093825874036,0.18493319815735432,6,7.345230763775011,1100,0.003547408941886885,0.02429373020467791,0.5329041938936057,COMPLETE
3,0.2377204683292315,2026-07-23 12:44:11.575491,2026-07-23 12:45:30.794802,0 days 00:01:19.219311,0.8893246060996899,0.019607960922462968,6,26.988205141538423,500,0.001329160432655688,0.03255416794973487,0.6727308059989335,COMPLETE
4,0.2117664219019094,2026-07-23 12:45:30.803205,2026-07-23 12:51:32.452093,0 days 00:06:01.648888,0.3891020191140257,0.09867230020421208,12,10.271004097543802,1400,2.7884662685271655,0.5560121085526573,0.7162379663952079,COMPLETE
5,0.21347081598197368,2026-07-23 12:51:32.461887,2026-07-23 12:54:27.684275,0 days 00:02:55.222388,0.7531207789368,0.06100417671735413,10,1.928236536348107,500,17.864187896324417,0.32482467904559975,0.7277239110529665,COMPLETE
6,0.253085584778557,2026-07-23 12:54:27.690619,2026-07-23 12:55:26.059908,0 days 00:00:58.369289,0.30567907536024747,0.038089879034302325,4,19.184613758802204,500,0.20228922242901273,0.002702505665825846,0.6076588997363731,COMPLETE
7,0.21407705393782814,2026-07-23 12:55:26.066430,2026-07-23 12:59:31.558614,0 days 00:04:05.492184,0.6633878985921273,0.1669222337389159,12,11.867416645515508,2300,0.1570441825335484,0.10600421112226285,0.7978751229370129,COMPLETE
8,0.24601109105450059,2026-07-23 12:59:31.565060,2026-07-23 13:00:54.123380,0 days 00:01:22.558320,0.5707937216913331,0.012255619180312757,7,13.513315295530461,400,0.3773009892509265,1.261007750374842,0.5929418427598855,COMPLETE
9,0.20372856909652928,2026-07-23 13:00:54.131212,2026-07-23 13:06:14.646537,0 days 00:05:20.515325,0.5574075726775277,0.03358386146697082,11,18.02678018582362,1200,3.7163798969899977,1.2579336784994701,0.8532577717027281,COMPLETE
