trial,pca,C,gamma,epsilon,mae,total_time
23,nc:120,1.8802570252599848,scale,0.002264389071781567,0.22608361734865867,108.56
24,nc:120,1.4873032231927297,scale,0.0021931373056693062,0.2284337391437538,88.59
25,nc:120,1.3331609098012989,scale,0.002181401945087313,0.22992194789883796,84.59
26,nc:120,0.5773406370664365,scale,0.0021617091207365917,0.24784648204042461,68.53
27,nc:120,3.431709265678494,scale,0.002129115493587375,0.22319680766951225,187.06
28,nc:120,24.200093236648385,scale,0.0016277493161847294,0.23384769004689732,698.18
29,nc:120,0.301993957427246,scale,0.0036690177052514103,0.26922697321161576,65.89
30,nc:120,3.5276452013489017,scale,0.002854271688840891,0.22308697227520818,187.27
31,nc:120,3.810638430571407,scale,0.0014283388442161578,0.2229986061961954,207.51
32,nc:120,4.78787421047658,scale,0.0010868151338585632,0.2229331620885159,257.3
33,nc:120,4.745940101280067,scale,0.0010295101822888086,0.2229296205419017,255.51
34,nc:120,11.27606342235635,scale,0.001037390749641419,0.22679426115250828,481.87
35,nc:120,19.473925494076607,scale,0.001376380925276245,0.23167123817138308,639.36
36,nc:120,5.871005715217178,scale,0.0010115688718170149,0.22320499722003798,302.92
37,nc:120,30.169851604387542,scale,0.0033430302399987157,0.23581497590701325,754.9
38,nc:120,4.043449566007334,scale,0.0014380110993310105,0.22292259901672562,219.69
39,nc:120,9.263237503644696,scale,0.0014358825242174614,0.22532865356696025,428.29
40,nc:120,0.7323174139332734,scale,0.0051760299208402525,0.24145036210348617,71.57
41,nc:120,55.32401017755785,scale,0.0014562733399441142,0.24232663629383805,917.91
42,nc:120,150.13666385872398,scale,0.0013241953401181884,0.25074253422224374,1087.99
43,nc:120,3.7297888006921824,scale,0.002724193305414357,0.22296132964215415,203.93
44,nc:120,4.354535518951555,scale,0.005054060002298952,0.22266270555403694,232.94
45,nc:120,17.0858591255694,scale,0.005244098971552671,0.22999373236818696,590.38
46,nc:120,6.107297450040789,scale,0.0073964810926172705,0.2228436151805909,295.05
47,nc:120,6.051110246588089,scale,0.008043325176038245,0.22277981944943187,287.66
48,var:0.99,8.22273988929755,scale,0.009498898793619487,0.23046432267145053,314.15
49,nc:120,14.030148511448783,scale,0.013984202208357768,0.2274406119060696,496.66
50,nc:120,0.8430521551948357,scale,0.006486531086353788,0.23815967212771721,72.81
51,var:0.99,1777.94228431334,scale,0.019339258101528478,0.26953878984168905,982.98
52,nc:120,2.2743348163356076,0.07085087488872263,0.010667991396987394,0.712134489777086,152.23
53,nc:120,6.789181027519296,scale,0.007112746342373243,0.22317711388374967,314.98
54,nc:120,5.195232002606498,scale,0.004504821251775865,0.2228033469109815,261.1
55,nc:120,2.5193090877136317,scale,0.004324029243610318,0.22426418423258085,135.36
56,nc:120,36.7513879568499,scale,0.008283460145382436,0.23712358159093494,762.9
57,nc:120,0.9448717724951065,scale,0.00434616625124192,0.2357590319758862,75.94
58,nc:120,13.18489431616594,1.2679173718754061e-05,0.012003966179687502,0.3805955679770937,63.76
59,var:0.99,5.6992922085022135,scale,0.005992017288028296,0.22962449117366973,241.99
60,nc:120,7.4684399659315295,scale,0.023594837883752502,0.22254487888429755,311.09
61,nc:120,61.24759632610377,scale,0.02495357268135767,0.2397579537911886,896.26
62,nc:120,8.833060104575061,0.0007560895750926273,0.04489276654272416,0.23823317509682207,87.14
