model_kind,corr_threshold,include_fragments,morgan_kind,radius,fp_size,min_df,n_features,cv_mae
lgb,0.95,True,count,2,2048,1,2231,0.20440843326575947
xgb,None,True,count,2,2048,1,2262,0.20372856909652928
