Model,Internal_Model,Overall_OOF_F1,AD_Inside_F1,AD_Outside_F1,AD_Inside_Precision,AD_Inside_Recall,AD_Outside_Precision,AD_Outside_Recall,AD_Inside_TP,AD_Inside_FP,AD_Inside_FN,AD_Inside_TN,AD_Outside_TP,AD_Outside_FP,AD_Outside_FN,AD_Outside_TN,AD_Inside_Count,AD_Outside_Count,Test_AD_Weighted_Score,Best_Threshold
LightGBM,lightgbm,0.8114901256732495,0.8139963167587477,0.7142857142857143,0.7921146953405018,0.8371212121212122,1.0,0.5555555555555556,221,58,43,364,5,0,4,17,686,26,0.807311807095751,0.474
XGBoost,xgboost,0.8078994614003591,0.8103130755064457,0.7142857142857143,0.7885304659498208,0.8333333333333334,1.0,0.5555555555555556,220,59,44,363,5,0,4,17,686,26,0.8038754870447207,0.458
Soft Voting,soft_voting,0.8013816925734024,0.8049645390070922,0.6666666666666666,0.7566666666666667,0.8598484848484849,0.8333333333333334,0.5555555555555556,227,73,37,349,5,1,4,16,686,26,0.7956931732636,0.384
CatBoost,catboost,0.797962648556876,0.8027923211169284,0.625,0.7443365695792881,0.8712121212121212,0.7142857142857143,0.5555555555555556,230,79,34,343,5,2,4,15,686,26,0.7908732828297601,0.309
Random Forest,random_forest,0.7904599659284497,0.7943760984182777,0.6666666666666666,0.740983606557377,0.8560606060606061,0.6666666666666666,0.6666666666666666,226,79,38,343,6,3,3,14,686,26,0.7858145722673318,0.346
Logistic Regression,logistic,0.7904411764705882,0.7924528301886793,0.7142857142857143,0.7894736842105263,0.7954545454545454,1.0,0.5555555555555556,210,56,54,366,5,0,4,17,686,26,0.7872125766085922,0.479
HistGradientBoosting,hist_gradient_boosting,0.7892074198988196,0.7923875432525952,0.6666666666666666,0.7292993630573248,0.8674242424242424,0.8333333333333334,0.5555555555555556,229,85,35,337,5,1,4,16,686,26,0.7839593280624771,0.291
RBF-SVM,svm_rbf,0.7873754152823921,0.7938144329896907,0.6,0.7264150943396226,0.875,0.5454545454545454,0.6666666666666666,231,87,33,335,6,5,3,12,686,26,0.7808212866440132,0.296
Extra Trees,extra_trees,0.782608695652174,0.7902946273830156,0.5714285714285714,0.7284345047923323,0.8636363636363636,0.5,0.6666666666666666,228,85,36,337,6,6,3,11,686,26,0.7756220426262931,0.435
